EPOCHS,BATCH,ACCURACY,VAL_ACCURACY,LOSS,VAL_LOSS,ROC,PR,VAL_ROC,VAL_PR,PRECISION,RECALL,VAL_PRECISION,VAL_RECALL,BIN_ACC,VAL_BIN_ACC,LR
0,64,0.6056947708129883,0.5138651728630066,0.0011601957958191633,0.0027997137513011694,0.6444715261459351,0.6296022534370422,0.5044999122619629,0.49938252568244934,0.605695366859436,0.605695366859436,0.5138651132583618,0.5138651132583618,0.6056947708129883,0.5138651728630066,9.999999747378752e-05
1,64,0.7548570036888123,0.4417400360107422,0.0005630013765767217,0.00407285476103425,0.8233039975166321,0.8059920072555542,0.3807453513145447,0.41686317324638367,0.7548578381538391,0.7548578381538391,0.4417400360107422,0.4417400360107422,0.7548570036888123,0.4417400360107422,9.999999747378752e-05
2,64,0.7552037239074707,0.7878755927085876,0.0005215437267906964,0.001511607551947236,0.8411605954170227,0.8334800601005554,0.8407399654388428,0.8290075063705444,0.755204439163208,0.755204439163208,0.7878755927085876,0.7878755927085876,0.7552037239074707,0.7878755927085876,9.999999747378752e-05
3,64,0.8456951379776001,0.8529577255249023,0.0003537518496159464,0.0012401934945955873,0.9173943400382996,0.9123777151107788,0.8952293395996094,0.8835368156433105,0.8456959128379822,0.8456959128379822,0.8529577851295471,0.8529577851295471,0.8456951379776001,0.8529577255249023,9.999999747378752e-05
4,64,0.8785187005996704,0.8367005586624146,0.0002845688140951097,0.0012888851342722774,0.9472784996032715,0.9460480213165283,0.8943460583686829,0.8864539861679077,0.878519594669342,0.878519594669342,0.8367005586624146,0.8367005586624146,0.8785187602043152,0.8367005586624146,9.999999747378752e-05
5,64,0.8799566030502319,0.848893404006958,0.0002725029771681875,0.0012726422864943743,0.9511220455169678,0.9498193264007568,0.900747537612915,0.8921413421630859,0.8799577355384827,0.8799577355384827,0.8488934636116028,0.8488934636116028,0.8799566030502319,0.848893404006958,9.999999747378752e-05
6,64,0.917635440826416,0.8716132640838623,0.0002162184682674706,0.001210325281135738,0.9695377945899963,0.9690684080123901,0.911960780620575,0.9002021551132202,0.9176364541053772,0.9176364541053772,0.8716132640838623,0.8716132640838623,0.917635440826416,0.8716132640838623,1.9999999494757503e-05
7,64,0.9268752336502075,0.8756774663925171,0.00019830296514555812,0.0011920026736333966,0.9741120338439941,0.9731722474098206,0.9167419075965881,0.906261146068573,0.9268763065338135,0.9268763065338135,0.8756776452064514,0.8756776452064514,0.926875114440918,0.8756774663925171,1.9999999494757503e-05
8,64,0.930031418800354,0.8722811937332153,0.0001956445921678096,0.0012002282310277224,0.9745453596115112,0.9736727476119995,0.9149512648582458,0.9039722681045532,0.9300326704978943,0.9300326704978943,0.8722812533378601,0.8722812533378601,0.930031418800354,0.8722811937332153,3.999999989900971e-06
9,64,0.9253374934196472,0.8695717453956604,0.0001958950888365507,0.001207905588671565,0.9757405519485474,0.9750778079032898,0.9140623211860657,0.9029619097709656,0.9253386855125427,0.9253386855125427,0.8695717453956604,0.8695717453956604,0.9253374934196472,0.8695717453956604,3.999999989900971e-06
