epoch;accuracy;auc;auc_1;binary_accuracy;loss;lr;precision;recall;val_accuracy;val_auc;val_auc_1;val_binary_accuracy;val_loss;val_precision;val_recall
0;0.5676571130752563;0.6060197949409485;0.5976478457450867;0.5689921379089355;0.0009806951275095344;1e-04;0.5919393301010132;0.44420522451400757;0.5528597235679626;0.5882903933525085;0.5868323445320129;0.5528597235679626;0.0012196078896522522;0.5528600215911865;0.5528600215911865
1;0.5855552554130554;0.6321909427642822;0.6232404708862305;0.5869467854499817;0.0009665571269579232;1e-04;0.6159859299659729;0.46175435185432434;0.49950122833251953;0.5150046944618225;0.5260041356086731;0.49950122833251953;0.0012546604266390204;0.49950137734413147;0.49950137734413147
2;0.5909692049026489;0.6408945918083191;0.6325258016586304;0.5922300815582275;0.000960433972068131;1e-04;0.6229850053787231;0.46717002987861633;0.5387923121452332;0.5693601369857788;0.5711234211921692;0.5387923121452332;0.0012285745469853282;0.5387928485870361;0.5387928485870361
3;0.5942097902297974;0.6462717056274414;0.6379572153091431;0.5959107279777527;0.0009570142137818038;1e-04;0.6279224157333374;0.47077375650405884;0.49797913432121277;0.5182107090950012;0.5326178669929504;0.49797913432121277;0.0012550881365314126;0.49797967076301575;0.49797967076301575
4;0.596671998500824;0.6502442359924316;0.6425458192825317;0.598182201385498;0.000953666924033314;1e-04;0.6310548782348633;0.4727669060230255;0.5509748458862305;0.5873112678527832;0.5912925004959106;0.5509748458862305;0.001216281671077013;0.5509751439094543;0.5509751439094543
5;0.5990030169487;0.6528740525245667;0.6450061202049255;0.599949061870575;0.0009519109153188765;1e-04;0.6332528591156006;0.4749709963798523;0.5116393566131592;0.5299206376075745;0.540058434009552;0.5116393566131592;0.0012523611076176167;0.5116398930549622;0.5116398930549622
6;0.6003530621528625;0.6551875472068787;0.6472371220588684;0.6017576456069946;0.0009505274938419461;1e-04;0.6359034776687622;0.4761216640472412;0.5113514065742493;0.5320484042167664;0.5416602492332458;0.5113514065742493;0.001251622918061912;0.5113515257835388;0.5113515257835388
7;0.6023204326629639;0.6575911641120911;0.6498167514801025;0.6033293604850769;0.0009485597838647664;1e-04;0.6376422643661499;0.4786711633205414;0.5191190838813782;0.5426129698753357;0.5489920377731323;0.5191190838813782;0.0012461788719519973;0.5191194415092468;0.5191194415092468
8;0.6037032008171082;0.6596718430519104;0.6521731019020081;0.604383111000061;0.0009468220523558557;1e-04;0.639009952545166;0.47982826828956604;0.504127025604248;0.5267193913459778;0.5385854840278625;0.504127025604248;0.0012552180560305715;0.5041271448135376;0.5041271448135376
9;0.6037333607673645;0.6606271862983704;0.6527019739151001;0.6052597761154175;0.0009466514457017183;1e-04;0.6403893232345581;0.48013749718666077;0.5563608407974243;0.5974091291427612;0.6022582650184631;0.5563608407974243;0.0012094213161617517;0.5563610792160034;0.5563610792160034
10;0.6042633652687073;0.6609328985214233;0.6529610753059387;0.6053631901741028;0.0009464119793847203;1e-04;0.6403993368148804;0.48057496547698975;0.5417365431785583;0.5728855133056641;0.5763769745826721;0.5417365431785583;0.0012276973575353622;0.5417365431785583;0.5417365431785583
11;0.6046911478042603;0.6624607443809509;0.654831051826477;0.6064391136169434;0.0009449173812754452;1e-04;0.6421467661857605;0.48080891370773315;0.5456746220588684;0.5771332383155823;0.581135630607605;0.5456746220588684;0.0012246177066117525;0.5456752777099609;0.5456752777099609
12;0.6066237688064575;0.6639071702957153;0.655877947807312;0.6076494455337524;0.0009444400202482939;1e-04;0.6435784101486206;0.48252832889556885;0.5443459749221802;0.5751238465309143;0.5798996090888977;0.5443459749221802;0.0012255008332431316;0.5443459153175354;0.5443459153175354
13;0.6064976453781128;0.6643477082252502;0.656396746635437;0.6078744530677795;0.000944055849686265;1e-04;0.6439710855484009;0.4825130105018616;0.5550630688667297;0.5893857479095459;0.590965211391449;0.5550630688667297;0.0012174607254564762;0.5550628900527954;0.5550628900527954
14;0.6073842644691467;0.6654826998710632;0.6575781106948853;0.6085832715034485;0.0009432457154616714;1e-04;0.644822895526886;0.4834553599357605;0.5361497402191162;0.5642358064651489;0.5709500312805176;0.5361497402191162;0.001232084003277123;0.536149799823761;0.536149799823761
15;0.6084510684013367;0.6668908596038818;0.6591642498970032;0.6094343662261963;0.0009418940171599388;1e-04;0.6458503603935242;0.48460957407951355;0.5480281114578247;0.576500654220581;0.5779663920402527;0.5480281114578247;0.0012275337940081954;0.5480290651321411;0.5480290651321411
16;0.6093716025352478;0.6671749949455261;0.6591419577598572;0.6102824807167053;0.0009421153226867318;1e-04;0.6468533873558044;0.4857492446899414;0.5895587801933289;0.62798672914505;0.6235983371734619;0.5895587801933289;0.0011948210885748267;0.5895587205886841;0.5895587205886841
17;0.6093816161155701;0.6678446531295776;0.6596578359603882;0.6103317141532898;0.0009417801629751921;1e-04;0.6469232439994812;0.48580029606819153;0.5596757531166077;0.591946005821228;0.5929944515228271;0.5596757531166077;0.0012159738689661026;0.5596757531166077;0.5596757531166077
18;0.6093865633010864;0.6677869558334351;0.6599776744842529;0.6104897856712341;0.000941509788390249;1e-04;0.6473472118377686;0.48541340231895447;0.5627522468566895;0.5981175899505615;0.5992997288703918;0.5627522468566895;0.0012118989834561944;0.5627517700195312;0.5627517700195312
19;0.6087921857833862;0.6676623225212097;0.6599869132041931;0.6101791262626648;0.0009413760853931308;1e-04;0.6469346880912781;0.48510706424713135;0.5488559007644653;0.5795075297355652;0.5860958695411682;0.5488559007644653;0.001221943530254066;0.5488566756248474;0.5488566756248474
