epoch;accuracy;auc;auc_1;binary_accuracy;loss;lr;precision;recall;val_accuracy;val_auc;val_auc_1;val_binary_accuracy;val_loss;val_precision;val_recall
0;0.5006116032600403;0.5009990930557251;0.5011441111564636;0.5006116032600403;0.0010182493133470416;1e-08;0.5006091594696045;0.5006091594696045;0.47534841299057007;0.4744230806827545;0.48766300082206726;0.47534841299057007;0.0012486850610002875;0.4753492474555969;0.4753492474555969
1;0.5053581595420837;0.5091469883918762;0.5083454847335815;0.505358099937439;0.0010152136674150825;1e-08;0.5053561925888062;0.5053560733795166;0.47100991010665894;0.4650314152240753;0.4798976182937622;0.47100991010665894;0.0012497748248279095;0.4710104763507843;0.4710104763507843
2;0.5083775520324707;0.5132140517234802;0.5113598704338074;0.5083774924278259;0.0010140949161723256;1e-08;0.5083735585212708;0.508373498916626;0.46907949447631836;0.46220412850379944;0.4764196276664734;0.46907949447631836;0.00125049555208534;0.4690803587436676;0.4690803587436676
3;0.5121521353721619;0.5184981822967529;0.5158851742744446;0.5121520757675171;0.0010123704560101032;1e-08;0.5121502876281738;0.512150228023529;0.47423291206359863;0.4648146331310272;0.4765571057796478;0.47423055768013;0.0012507922947406769;0.47423088550567627;0.4742286503314972
4;0.5129761099815369;0.5202599167823792;0.5177229642868042;0.5129761099815369;0.0010118361096829176;1e-08;0.5129743218421936;0.5129743218421936;0.478255957365036;0.46857327222824097;0.4778369963169098;0.47825828194618225;0.0012509357184171677;0.4782586991786957;0.478256493806839
5;0.5172666907310486;0.5251361131668091;0.5218352675437927;0.5172666907310486;0.0010102714877575636;1e-08;0.5172635316848755;0.5172635316848755;0.4805624485015869;0.47266310453414917;0.47950488328933716;0.4805624485015869;0.0012511281529441476;0.48056289553642273;0.48056289553642273
6;0.5192260146141052;0.5287824869155884;0.5249176621437073;0.5192258954048157;0.0010092051234096289;1e-08;0.5192239880561829;0.5192239284515381;0.4822543263435364;0.47521039843559265;0.4802897274494171;0.4822543263435364;0.0012514848494902253;0.4822549521923065;0.4822549521923065
7;0.5216687917709351;0.5318279266357422;0.5277634263038635;0.5216687917709351;0.0010081991786137223;1e-08;0.5216673612594604;0.5216673612594604;0.48443806171417236;0.4790785610675812;0.48235517740249634;0.48443806171417236;0.0012516024289652705;0.48443856835365295;0.48443856835365295
8;0.524004340171814;0.5350943207740784;0.5307998061180115;0.5240042209625244;0.0010071288561448455;1e-08;0.5240050554275513;0.5240049958229065;0.48824965953826904;0.4829478859901428;0.4845650792121887;0.48824965953826904;0.001251595327630639;0.48824986815452576;0.48824986815452576
9;0.5253667831420898;0.5377041697502136;0.5329869389533997;0.5253667831420898;0.001006422215141356;1e-08;0.5253667235374451;0.5253667235374451;0.4900079369544983;0.4860597252845764;0.4864192605018616;0.4900079369544983;0.0012516730930656195;0.49000802636146545;0.49000802636146545
