EPOCHS,BATCH,ACCURACY,VAL_ACCURACY,LOSS,VAL_LOSS,ROC,PR,VAL_ROC,VAL_PR,PRECISION,RECALL,VAL_PRECISION,VAL_RECALL,BIN_ACC,VAL_BIN_ACC,LR
0,64,0.46959152817726135,0.6919905543327332,0.0006729838787578046,0.001992610050365329,0.4730393886566162,0.48087209463119507,0.7296028137207031,0.7113100290298462,0.46959197521209717,0.46959197521209717,0.6919905543327332,0.6919905543327332,0.46959158778190613,0.6919905543327332,9.999999974752427e-07
1,64,0.5509506464004517,0.6348665356636047,0.0006578363827429712,0.001982144545763731,0.57340008020401,0.5672113299369812,0.7020385265350342,0.6870829463005066,0.5509511232376099,0.5509511232376099,0.6348665952682495,0.6348665952682495,0.5509506464004517,0.6348665952682495,9.999999974752427e-07
2,64,0.5745148658752441,0.5945802927017212,0.0006510689854621887,0.001974774757400155,0.6221026182174683,0.6052931547164917,0.680883526802063,0.6750627756118774,0.5745152831077576,0.5745152831077576,0.5945802927017212,0.5945802927017212,0.5745148658752441,0.5945802927017212,9.999999974752427e-07
3,64,0.5931914448738098,0.5905159711837769,0.000648225424811244,0.0019735172390937805,0.6318780183792114,0.619452714920044,0.6784145832061768,0.6728392839431763,0.593191921710968,0.593191921710968,0.5905159711837769,0.5905159711837769,0.593191385269165,0.5905159711837769,2.0000000233721948e-07
4,64,0.6007393598556519,0.583742082118988,0.00064458092674613,0.001972527476027608,0.6533647179603577,0.6366444826126099,0.6770243644714355,0.6749083995819092,0.6007398366928101,0.6007398366928101,0.5837421417236328,0.5837421417236328,0.6007393598556519,0.5837421417236328,2.0000000233721948e-07
5,64,0.605301558971405,0.583742082118988,0.0006465084152296185,0.001972453435882926,0.6398229598999023,0.6223504543304443,0.6759388446807861,0.6734745502471924,0.6053020358085632,0.6053020358085632,0.5837421417236328,0.5837421417236328,0.605301558971405,0.5837421417236328,3.999999975690116e-08
6,64,0.6033587455749512,0.583742082118988,0.000644337385892868,0.001972287893295288,0.6509056091308594,0.639015257358551,0.674873948097229,0.6723829507827759,0.6033593416213989,0.6033593416213989,0.5837421417236328,0.5837421417236328,0.6033587455749512,0.5837421417236328,3.999999975690116e-08
7,64,0.611623227596283,0.583742082118988,0.0006419484852813184,0.0019722473807632923,0.6576918363571167,0.6474915742874146,0.6748793125152588,0.6725727915763855,0.6116237044334412,0.6116237044334412,0.5837421417236328,0.5837421417236328,0.611623227596283,0.5837421417236328,7.999999773744548e-09
8,64,0.6125120520591736,0.5810325741767883,0.0006420534919016063,0.0019721791613847017,0.6637138724327087,0.6538307070732117,0.6747276782989502,0.6725928783416748,0.6125127673149109,0.6125127673149109,0.5810325741767883,0.5810325741767883,0.6125121712684631,0.5810325741767883,7.999999773744548e-09
9,64,0.5908399224281311,0.5810325741767883,0.0006449319771490991,0.001972183817997575,0.640857994556427,0.6323535442352295,0.6743049025535583,0.672115683555603,0.5908406376838684,0.5908406376838684,0.5810325741767883,0.5810325741767883,0.5908400416374207,0.5810325741767883,1.5999999103399887e-09
10,64,0.6205072402954102,0.5810325741767883,0.0006412717630155385,0.0019721861463040113,0.661567747592926,0.6549460887908936,0.6742566823959351,0.6720868349075317,0.6205077171325684,0.6205077171325684,0.5810325741767883,0.5810325741767883,0.6205072999000549,0.5810325741767883,1.5999999103399887e-09
11,64,0.6038720011711121,0.5810325741767883,0.0006445411709137261,0.0019721875432878733,0.6473792791366577,0.6382478475570679,0.6741129159927368,0.6718379259109497,0.6038725972175598,0.6038725972175598,0.5810325741767883,0.5810325741767883,0.6038720011711121,0.5810325741767883,3.199999709657675e-10
12,64,0.6184998154640198,0.5810325741767883,0.0006400150014087558,0.001972189638763666,0.6688894033432007,0.6597585678100586,0.6741129159927368,0.6718379259109497,0.6185003519058228,0.6185003519058228,0.5810325741767883,0.5810325741767883,0.6184998154640198,0.5810325741767883,3.199999709657675e-10
13,64,0.6278430819511414,0.5810325741767883,0.0006421264261007309,0.0019721894059330225,0.668853759765625,0.6531996726989746,0.6741129159927368,0.6718379259109497,0.6278437376022339,0.6278437376022339,0.5810325741767883,0.5810325741767883,0.6278430819511414,0.5810325741767883,6.399999280537472e-11
14,64,0.6066210269927979,0.5810325741767883,0.0006455862312577665,0.0019721894059330225,0.6430920958518982,0.6287493705749512,0.6741129159927368,0.6718379259109497,0.6066215634346008,0.6066215634346008,0.5810325741767883,0.5810325741767883,0.6066210269927979,0.5810325741767883,6.399999280537472e-11
15,64,0.6299352645874023,0.5810325741767883,0.0006439765566028655,0.001972189173102379,0.658668041229248,0.6344984769821167,0.6741129159927368,0.6718379259109497,0.6299359798431396,0.6299359798431396,0.5810325741767883,0.5810325741767883,0.6299353241920471,0.5810325741767883,1.2799998908019639e-11
16,64,0.614789605140686,0.5810325741767883,0.0006453923997469246,0.0019721894059330225,0.6436116695404053,0.6323107481002808,0.6741129159927368,0.6718379259109497,0.6147900819778442,0.6147900819778442,0.5810325741767883,0.5810325741767883,0.6147896647453308,0.5810325741767883,1.2799998908019639e-11
17,64,0.5968348979949951,0.5810325741767883,0.000645028951112181,0.001972189173102379,0.6447588205337524,0.6330209374427795,0.6741129159927368,0.6718379259109497,0.5968354940414429,0.5968354940414429,0.5810325741767883,0.5810325741767883,0.5968349575996399,0.5810325741767883,2.559999738235841e-12
