EPOCHS,BATCH,ACCURACY,VAL_ACCURACY,LOSS,VAL_LOSS,ROC,PR,VAL_ROC,VAL_PR,PRECISION,RECALL,VAL_PRECISION,VAL_RECALL,BIN_ACC,VAL_BIN_ACC,LR
0,64,0.5006190538406372,0.4753766357898712,0.0010182493133470416,0.001248684711754322,0.5009972453117371,0.5011429786682129,0.4744439125061035,0.48767784237861633,0.5006166100502014,0.5006164312362671,0.4753774404525757,0.4753774404525757,0.5006189346313477,0.4753766357898712,9.99999993922529e-09
1,64,0.5053642988204956,0.4710017442703247,0.001015214016661048,0.0012497740099206567,0.5091456174850464,0.5083433389663696,0.4650357961654663,0.4798913300037384,0.5053622722625732,0.5053620338439941,0.4710023105144501,0.4710023105144501,0.505364179611206,0.4710017442703247,9.99999993922529e-09
2,64,0.5083534717559814,0.46906450390815735,0.0010140944505110383,0.0012504961341619492,0.5132098197937012,0.5113564133644104,0.4621967673301697,0.4764176905155182,0.5083510279655457,0.5083494186401367,0.469065397977829,0.469065397977829,0.5083549618721008,0.46906450390815735,9.99999993922529e-09
3,64,0.5121555924415588,0.4742555618286133,0.0010123703395947814,0.0012507920619100332,0.5184933543205261,0.5158838629722595,0.46481508016586304,0.4765623211860657,0.5121538639068604,0.5121538043022156,0.4742560088634491,0.4742560088634491,0.5121555924415588,0.4742555618286133,9.99999993922529e-09
4,64,0.5129626393318176,0.47822991013526917,0.0010118359932675958,0.0012509358348324895,0.520260751247406,0.517723560333252,0.4685630202293396,0.47783803939819336,0.51296067237854,0.5129603743553162,0.47823041677474976,0.47823041677474976,0.5129624009132385,0.47822991013526917,9.99999993922529e-09
5,64,0.5172796249389648,0.4805489480495453,0.0010102714877575636,0.0012511283857747912,0.5251369476318359,0.5218350887298584,0.47265440225601196,0.47950154542922974,0.5172773599624634,0.5172764658927917,0.4805494248867035,0.4805494248867035,0.5172805190086365,0.4805489480495453,9.99999993922529e-09
6,64,0.5192273855209351,0.48232150077819824,0.0010092053562402725,0.0012514838017523289,0.5287815928459167,0.5249157547950745,0.47522252798080444,0.4802992641925812,0.5192266702651978,0.5192252993583679,0.4823221266269684,0.4823221266269684,0.5192286968231201,0.48232150077819824,9.99999993922529e-09
7,64,0.5216661691665649,0.48446473479270935,0.0010081990621984005,0.0012516026617959142,0.5318273901939392,0.527764081954956,0.4790880084037781,0.48235565423965454,0.5216647386550903,0.5216646790504456,0.48446527123451233,0.48446527123451233,0.5216661691665649,0.48446473479270935,9.99999993922529e-09
8,64,0.5239985585212708,0.4882594347000122,0.0010071288561448455,0.0012515948619693518,0.5350955724716187,0.5308009386062622,0.4829162657260895,0.48454973101615906,0.5239992737770081,0.5239992737770081,0.48825961351394653,0.48825961351394653,0.5239985585212708,0.4882594347000122,9.99999993922529e-09
9,64,0.5253559350967407,0.490021288394928,0.0010064230300486088,0.0012516729766502976,0.5377023220062256,0.5329864025115967,0.48608270287513733,0.48643407225608826,0.5253558158874512,0.5253557562828064,0.49002134799957275,0.49002134799957275,0.5253559350967407,0.490021288394928,9.99999993922529e-09
10,64,0.5270125269889832,0.492135226726532,0.0010053631849586964,0.0012518896255642176,0.5408884286880493,0.5359129905700684,0.4876337945461273,0.4871816039085388,0.5270113348960876,0.5270112752914429,0.49213531613349915,0.49213531613349915,0.5270124673843384,0.492135226726532,9.99999993922529e-09
11,64,0.5286173224449158,0.49144211411476135,0.0010053530568256974,0.0012522477190941572,0.5413837432861328,0.5363527536392212,0.48862263560295105,0.4876154661178589,0.5286135673522949,0.5286135673522949,0.49144217371940613,0.49144217371940613,0.528617262840271,0.49144211411476135,9.99999993922529e-09
12,64,0.5296578407287598,0.49162524938583374,0.0010043405927717686,0.0012525890488177538,0.5439006686210632,0.5391510128974915,0.489716112613678,0.48812854290008545,0.529655396938324,0.529655396938324,0.4916258454322815,0.4916258454322815,0.5296578407287598,0.49162524938583374,9.99999993922529e-09
13,64,0.5317428112030029,0.4923931062221527,0.0010036450112238526,0.0012528053484857082,0.5464146137237549,0.5411568284034729,0.490795373916626,0.4888654351234436,0.5317389965057373,0.5317388772964478,0.49239349365234375,0.49239349365234375,0.5317427515983582,0.4923931062221527,9.99999993922529e-09
14,64,0.533413290977478,0.4946151375770569,0.0010028051910921931,0.001252796151675284,0.5490779876708984,0.543433427810669,0.49332737922668457,0.4905551075935364,0.533412516117096,0.533412516117096,0.4946156144142151,0.4946156144142151,0.533413290977478,0.4946151375770569,9.99999993922529e-09
15,64,0.5337626934051514,0.4954608082771301,0.0010022761998698115,0.0012528299121186137,0.5500901341438293,0.5450767874717712,0.49504250288009644,0.49173852801322937,0.5337586998939514,0.5337585806846619,0.4954613745212555,0.4954613745212555,0.5337625741958618,0.4954608082771301,9.99999993922529e-09
16,64,0.5360562205314636,0.4970913231372833,0.001001637545414269,0.0012528955703601241,0.5530093312263489,0.5467488765716553,0.4966762065887451,0.49290433526039124,0.5360560417175293,0.536055862903595,0.49709171056747437,0.49709171056747437,0.5360560417175293,0.4970913231372833,9.99999993922529e-09
17,64,0.5354171991348267,0.49648451805114746,0.0010013077408075333,0.0012532449327409267,0.5531615614891052,0.5478658676147461,0.4968331456184387,0.4929705262184143,0.5354135632514954,0.5354135632514954,0.4964848756790161,0.4964848756790161,0.5354171991348267,0.49648451805114746,9.99999993922529e-09
18,64,0.5369011163711548,0.4968395233154297,0.0010010668775066733,0.0012537363218143582,0.5544911026954651,0.5487328767776489,0.49628645181655884,0.49258649349212646,0.5369038581848145,0.5369022488594055,0.4968399107456207,0.4968399107456207,0.5369026064872742,0.4968395233154297,9.99999993922529e-09
19,64,0.5380272269248962,0.4967571496963501,0.0010004026116803288,0.001254114555194974,0.5562675595283508,0.5504724383354187,0.49624741077423096,0.49251773953437805,0.5380237698554993,0.5380235910415649,0.4967575669288635,0.4967575669288635,0.5380270481109619,0.4967571496963501,9.99999993922529e-09
0,64,0.5018095970153809,0.3885839879512787,0.0010353840189054608,0.001271178130991757,0.5024888515472412,0.5021572709083557,0.3556554913520813,0.40957698225975037,0.5018090605735779,0.5018090605735779,0.38858386874198914,0.38858386874198914,0.5018095970153809,0.3885839879512787,1.000000013351432e-10
1,64,0.5015662312507629,0.3882710039615631,0.001036000088788569,0.0012712483294308186,0.5017380714416504,0.501349151134491,0.35533401370048523,0.4093955159187317,0.5015646815299988,0.501564621925354,0.38827085494995117,0.38827085494995117,0.5015662312507629,0.3882710039615631,1.000000013351432e-10
