EPOCHS,BATCH,ACCURACY,VAL_ACCURACY,LOSS,VAL_LOSS,ROC,PR,VAL_ROC,VAL_PR,PRECISION,RECALL,VAL_PRECISION,VAL_RECALL,BIN_ACC,VAL_BIN_ACC,LR
10,64,0.7070205807685852,0.3543020486831665,0.0011056020157411695,0.001587625010870397,0.7729109525680542,0.7593595385551453,0.34565114974975586,0.41610589623451233,0.7070274353027344,0.7070274353027344,0.354302316904068,0.354302316904068,0.7070205807685852,0.3543020486831665,1.5999999902760464e-07
11,64,0.7065500617027283,0.3536248803138733,0.0011050199391320348,0.0015879858983680606,0.7730953097343445,0.759781002998352,0.3452015221118927,0.4158339500427246,0.7065584659576416,0.7065584659576416,0.35362517833709717,0.35362517833709717,0.7065500617027283,0.3536248803138733,3.199999909497819e-08
12,64,0.7060694098472595,0.3530431091785431,0.001105657429434359,0.0015885718166828156,0.7727782726287842,0.7593813538551331,0.34459713101387024,0.41548386216163635,0.7060760259628296,0.7060760259628296,0.35304349660873413,0.35304349660873413,0.7060694098472595,0.3530431091785431,3.199999909497819e-08
13,64,0.7070145606994629,0.3527127504348755,0.001104805851355195,0.0015895776450634003,0.773171603679657,0.7599211931228638,0.34394049644470215,0.4151323437690735,0.7070233821868896,0.7070233821868896,0.3527132272720337,0.3527132272720337,0.7070145606994629,0.3527127504348755,6.399999641359955e-09
14,64,0.7067562937736511,0.35235074162483215,0.0011048034066334367,0.0015905137406662107,0.7732901573181152,0.7597827911376953,0.3433632254600525,0.41479790210723877,0.706761360168457,0.706761360168457,0.35235121846199036,0.35235121846199036,0.7067562937736511,0.35235074162483215,6.399999641359955e-09
15,64,0.7061741352081299,0.3522111177444458,0.0011062492849305272,0.0015907897613942623,0.7724105715751648,0.7590219378471375,0.3432168662548065,0.4147126376628876,0.7061796188354492,0.7061796188354492,0.352211594581604,0.352211594581604,0.7061741352081299,0.3522111177444458,1.27999988386307e-09
16,64,0.706445038318634,0.3520320951938629,0.001105527626350522,0.0015910726506263018,0.7728743553161621,0.75936359167099,0.34310027956962585,0.41463151574134827,0.7064526677131653,0.7064526677131653,0.3520326316356659,0.3520326316356659,0.706445038318634,0.3520320951938629,1.27999988386307e-09
17,64,0.7057339549064636,0.35204869508743286,0.001105444971472025,0.001591093372553587,0.7727423906326294,0.7595672011375427,0.34306734800338745,0.41461706161499023,0.7057420015335083,0.7057414650917053,0.35204917192459106,0.35204917192459106,0.705733597278595,0.35204869508743286,2.5599997122149887e-10
18,64,0.7060251235961914,0.35208064317703247,0.0011052604531869292,0.0015911097871139646,0.7729803919792175,0.7595844268798828,0.34306374192237854,0.41460999846458435,0.7060326337814331,0.7060326337814331,0.35208114981651306,0.35208114981651306,0.7060251235961914,0.35208064317703247,2.5599997122149887e-10
19,64,0.7067585587501526,0.3521224856376648,0.001105133444070816,0.0015911080408841372,0.7730693817138672,0.7596505880355835,0.3430714011192322,0.414613276720047,0.706764817237854,0.7067646980285645,0.3521230220794678,0.3521230220794678,0.7067584991455078,0.3521224856376648,5.1199995632078554e-11
