EPOCHS,BATCH,ACCURACY,VAL_ACCURACY,LOSS,VAL_LOSS,ROC,PR,VAL_ROC,VAL_PR,PRECISION,RECALL,VAL_PRECISION,VAL_RECALL,BIN_ACC,VAL_BIN_ACC,LR
0,64,0.6500145792961121,0.2773003876209259,0.0012345162685960531,0.0016778577119112015,0.7002061009407043,0.6846492886543274,0.24848619103431702,0.36318615078926086,0.6500194668769836,0.6500194668769836,0.277300626039505,0.277300626039505,0.6500145792961121,0.2773003876209259,9.999999974752427e-07
1,64,0.676491379737854,0.28954318165779114,0.0011755783343687654,0.001682370319031179,0.7346444725990295,0.719602644443512,0.26911792159080505,0.37277570366859436,0.6764960885047913,0.6764960885047913,0.2895435392856598,0.2895435392856598,0.676491379737854,0.28954318165779114,9.999999974752427e-07
2,64,0.6840227246284485,0.3022008240222931,0.001158878323622048,0.001671833568252623,0.7438246607780457,0.7290028929710388,0.28349968791007996,0.3798741400241852,0.6840271353721619,0.6840271353721619,0.3022010326385498,0.3022010326385498,0.6840227246284485,0.3022008240222931,9.999999974752427e-07
3,64,0.6897002458572388,0.32947278022766113,0.001146933645941317,0.0015930209774523973,0.7500530481338501,0.735602617263794,0.31303760409355164,0.39420127868652344,0.6897045969963074,0.6897045969963074,0.32947295904159546,0.32947295904159546,0.6897002458572388,0.32947278022766113,2.0000000233721948e-07
4,64,0.6912162899971008,0.33102476596832275,0.0011428402503952384,0.0015933092217892408,0.7523682117462158,0.7379056215286255,0.31561988592147827,0.39581817388534546,0.6912201046943665,0.6912201046943665,0.33102500438690186,0.33102500438690186,0.6912162899971008,0.33102476596832275,2.0000000233721948e-07
5,64,0.6931395530700684,0.34341081976890564,0.001140056992881,0.0015659000491723418,0.7539442181587219,0.7394824028015137,0.32977190613746643,0.4030348062515259,0.6931449770927429,0.6931449770927429,0.34341108798980713,0.34341108798980713,0.6931395530700684,0.34341081976890564,3.999999975690116e-08
6,64,0.692772388458252,0.34370744228363037,0.0011398122878745198,0.001566485152579844,0.75398188829422,0.7397251129150391,0.32993143796920776,0.4031519591808319,0.6927742958068848,0.6927742958068848,0.3437078595161438,0.3437078595161438,0.692772388458252,0.34370744228363037,3.999999975690116e-08
7,64,0.6921279430389404,0.34482595324516296,0.0011390469735488296,0.0015632712747901678,0.7543962597846985,0.7403265237808228,0.33216506242752075,0.4043889045715332,0.6921346783638,0.6921346783638,0.34482619166374207,0.34482619166374207,0.6921279430389404,0.34482595324516296,3.999999975690116e-08
8,64,0.6935755610466003,0.33214205503463745,0.0011384753743186593,0.0015910480869933963,0.7547147274017334,0.7403510212898254,0.3180478513240814,0.3970431685447693,0.6935785412788391,0.6935785412788391,0.33214232325553894,0.33214232325553894,0.6935755610466003,0.33214205503463745,7.999999773744548e-09
9,64,0.6925562024116516,0.330517053604126,0.0011389319552108645,0.0015940149314701557,0.7545952796936035,0.7402030825614929,0.3167765438556671,0.3963896930217743,0.6925604939460754,0.6925604939460754,0.3305174708366394,0.3305174708366394,0.6925562024116516,0.330517053604126,7.999999773744548e-09
