EPOCHS,BATCH,ACCURACY,VAL_ACCURACY,LOSS,VAL_LOSS,ROC,PR,VAL_ROC,VAL_PR,PRECISION,RECALL,VAL_PRECISION,VAL_RECALL,BIN_ACC,VAL_BIN_ACC,LR
0,64,0.5032494068145752,0.4748583734035492,0.001012616790831089,0.0012488591019064188,0.5043601393699646,0.5035744905471802,0.4729025363922119,0.48624590039253235,0.5032474994659424,0.5032474994659424,0.4748589098453522,0.4748589098453522,0.5032494068145752,0.4748583734035492,9.99999993922529e-09
1,64,0.5089403390884399,0.4701661765575409,0.0010098239872604609,0.0012501046294346452,0.5138412714004517,0.5121966600418091,0.4635697603225708,0.47825637459754944,0.5089371800422668,0.5089371204376221,0.4701664447784424,0.4701664447784424,0.5089402198791504,0.4701661765575409,9.99999993922529e-09
2,64,0.5123873353004456,0.4700773358345032,0.0010084344539791346,0.0012508654035627842,0.5195138454437256,0.5169759392738342,0.462152898311615,0.47528350353240967,0.5123834013938904,0.5123834013938904,0.4700780212879181,0.4700780212879181,0.5123873353004456,0.4700773358345032,9.99999993922529e-09
3,64,0.5152971148490906,0.46375593543052673,0.0010076164035126567,0.001252114656381309,0.5227282643318176,0.519827127456665,0.45216304063796997,0.4678804874420166,0.5152961611747742,0.5152961611747742,0.46375638246536255,0.46375638246536255,0.5152971148490906,0.46375593543052673,1.999999943436137e-09
4,64,0.515367865562439,0.45750513672828674,0.0010073210578411818,0.001253206399269402,0.5236207246780396,0.5208879113197327,0.4436911940574646,0.46174198389053345,0.5153658986091614,0.5153658986091614,0.4575059711933136,0.4575059711933136,0.515367865562439,0.45750513672828674,1.999999943436137e-09
5,64,0.5155373215675354,0.45367342233657837,0.0010072988225147128,0.0012538462178781629,0.5240086317062378,0.521075427532196,0.4382716417312622,0.4580020308494568,0.5155336260795593,0.515533447265625,0.4536743760108948,0.4536743760108948,0.5155372023582458,0.45367342233657837,3.9999997758499717e-10
6,64,0.5176632404327393,0.4492383599281311,0.0010069564450532198,0.0012544844066724181,0.5257065892219543,0.5220672488212585,0.4327625334262848,0.4543733596801758,0.5176615715026855,0.517661452293396,0.4492391347885132,0.4492391347885132,0.5176631212234497,0.4492383599281311,3.9999997758499717e-10
7,64,0.5160715579986572,0.44896411895751953,0.001007123850286007,0.001254514791071415,0.5245799422264099,0.521624743938446,0.432500422000885,0.4542057514190674,0.516070544719696,0.516070544719696,0.4489648938179016,0.4489648938179016,0.5160715579986572,0.44896411895751953,7.999999274144187e-11
8,64,0.5177580714225769,0.4487544000148773,0.0010067931143566966,0.0012545464560389519,0.5257896184921265,0.5226144790649414,0.43225207924842834,0.454018235206604,0.5177564024925232,0.5177564024925232,0.4487552046775818,0.4487552046775818,0.5177580714225769,0.4487544000148773,7.999999274144187e-11
9,64,0.5169991254806519,0.44875338673591614,0.0010069477139040828,0.0012545473873615265,0.5255834460258484,0.5221484899520874,0.43226587772369385,0.45402973890304565,0.5169978141784668,0.5169978141784668,0.448754221200943,0.448754221200943,0.5169990658760071,0.44875338673591614,1.599999820134368e-11
10,64,0.5180392265319824,0.44872379302978516,0.0010066335089504719,0.001254549017176032,0.5266308188438416,0.5230370163917542,0.43223416805267334,0.45401132106781006,0.5180346369743347,0.5180345177650452,0.44872456789016724,0.44872456789016724,0.5180391073226929,0.44872379302978516,1.599999820134368e-11
11,64,0.5167850255966187,0.44874677062034607,0.0010072719305753708,0.001254549133591354,0.5238950252532959,0.5211083889007568,0.432255357503891,0.4540225863456726,0.5167825222015381,0.516782283782959,0.4487476050853729,0.4487476050853729,0.5167847275733948,0.44874677062034607,3.1999997270049096e-12
12,64,0.5154769420623779,0.4487338960170746,0.0010069655254483223,0.0012545492500066757,0.5250965356826782,0.5220495462417603,0.4322362542152405,0.45401567220687866,0.5154741406440735,0.5154741406440735,0.44873467087745667,0.44873467087745667,0.5154769420623779,0.4487338960170746,3.1999997270049096e-12
13,64,0.5154953598976135,0.44874370098114014,0.001007115701213479,0.0012545493664219975,0.524249255657196,0.5216745734214783,0.43223661184310913,0.45401597023010254,0.5154923796653748,0.51549232006073,0.448744535446167,0.448744535446167,0.5154953598976135,0.44874370098114014,6.399999345589602e-13
14,64,0.5172429084777832,0.44874370098114014,0.0010069520212709904,0.0012545492500066757,0.5254298448562622,0.5221410989761353,0.43225201964378357,0.45402026176452637,0.5172412395477295,0.5172412395477295,0.448744535446167,0.448744535446167,0.5172428488731384,0.44874370098114014,6.399999345589602e-13
15,64,0.5171192288398743,0.44874370098114014,0.001006553997285664,0.0012545492500066757,0.526154637336731,0.5233718752861023,0.43224960565567017,0.4540210962295532,0.5171167850494385,0.5171167850494385,0.448744535446167,0.448744535446167,0.5171192288398743,0.44874370098114014,1.2799998691179204e-13
