BATCH,ACCURACY,VAL_ACCURACY,LOSS,VAL_LOSS
64,0.0014876980567350984,0.0,0.0008141250582411885,0.7029226422309875
64,0.0014876980567350984,0.0,0.0008137169061228633,0.7028640508651733
64,0.0014876980567350984,0.0,0.000813246238976717,0.7028012871742249
64,0.0014876980567350984,0.0,0.0008127550245262682,0.7027361392974854
64,0.0014876980567350984,0.0,0.0008122355793602765,0.7026690244674683
64,0.0014876980567350984,0.0,0.0008117150282487273,0.7026005983352661
64,0.0014876980567350984,0.0,0.0008111794013530016,0.7025310397148132
64,0.0014876980567350984,0.0,0.0008106332388706505,0.7024602890014648
64,0.0014876980567350984,0.0,0.0008100742124952376,0.7023882865905762
64,0.0014876980567350984,0.0,0.0008095012162812054,0.7023148536682129
64,0.0014876980567350984,0.0,0.0008089119801297784,0.7022398114204407
64,0.0014876980567350984,0.0,0.0008083144202828407,0.7021627426147461
64,0.0014876980567350984,0.0,0.0008076908416114748,0.7020835280418396
64,0.0014876980567350984,0.0,0.0008070438634604216,0.7020017504692078
64,0.0014876980567350984,0.0,0.0008063680143095553,0.7019166946411133
64,0.0014876980567350984,0.0,0.0008056620717979968,0.701828122138977
64,0.0014876980567350984,0.0,0.0008049326715990901,0.7017355561256409
64,0.0014876980567350984,0.0,0.0008041402325034142,0.7016380429267883
64,0.0014876980567350984,0.0,0.0008033339399844408,0.7015354633331299
64,0.0014876980567350984,0.0,0.0008024653070606291,0.7014274597167969
