EPOCHS,BATCH,ACCURACY,VAL_ACCURACY,LOSS,VAL_LOSS,ROC,PR,VAL_ROC,VAL_PR,PRECISION,RECALL,VAL_PRECISION,VAL_RECALL,BIN_ACC,VAL_BIN_ACC,LR,TRUE_POSITIVES,TRUE_NEGATIVES,FALSE_POSITIVES,FALSE_NEGATIVES,VAL_TRUE_POSITIVES,VAL_TRUE_NEGATIVES,VAL_FALSE_POSITIVES,VAL_FALSE_NEGATIVES
10,64,0.9601998925209045,0.45346975326538086,9.244100510841236e-05,0.004034425597637892,0.9853686094284058,0.9834575653076172,0.411344051361084,0.4325544536113739,0.9601994752883911,0.9601994752883911,0.45346975326538086,0.45346975326538086,0.9601998925209045,0.45346975326538086,1.5999999902760464e-07,4507.0,4507.0,4861.0,4861.0,332.0,332.0,393.0,393.0
11,64,0.9595822095870972,0.45346975326538086,9.803208376979455e-05,0.0040307193994522095,0.9842912554740906,0.9824632406234741,0.4117259979248047,0.4329143166542053,0.9595818519592285,0.9595818519592285,0.45346975326538086,0.45346975326538086,0.9595822095870972,0.45346975326538086,1.5999999902760464e-07,4489.0,4489.0,4879.0,4879.0,332.0,332.0,393.0,393.0
12,64,0.9603374004364014,0.45346975326538086,9.634520392864943e-05,0.004029398784041405,0.9845486283302307,0.9829106330871582,0.4119173586368561,0.4330177903175354,0.9603370428085327,0.9603370428085327,0.45346975326538086,0.45346975326538086,0.9603374004364014,0.45346975326538086,3.199999909497819e-08,4494.0,4494.0,4874.0,4874.0,332.0,332.0,393.0,393.0
13,64,0.9587720632553101,0.45346975326538086,9.991023398470134e-05,0.004028897266834974,0.9832520484924316,0.9811912775039673,0.4119386076927185,0.43302929401397705,0.958771824836731,0.958771824836731,0.45346975326538086,0.45346975326538086,0.9587720632553101,0.45346975326538086,3.199999909497819e-08,4457.0,4457.0,4911.0,4911.0,332.0,332.0,393.0,393.0
14,64,0.9614341259002686,0.45346975326538086,0.0001006050079013221,0.0040288143791258335,0.9837690591812134,0.9819660186767578,0.41195473074913025,0.4330366253852844,0.9614339470863342,0.9614339470863342,0.45346975326538086,0.45346975326538086,0.9614341259002686,0.45346975326538086,6.399999641359955e-09,4533.0,4533.0,4835.0,4835.0,332.0,332.0,393.0,393.0
15,64,0.9595707654953003,0.45346975326538086,0.00010392472904641181,0.00402896199375391,0.9829960465431213,0.9808157682418823,0.41193699836730957,0.43302854895591736,0.9595704674720764,0.9595704674720764,0.45346975326538086,0.45346975326538086,0.9595707654953003,0.45346975326538086,6.399999641359955e-09,4488.0,4488.0,4880.0,4880.0,332.0,332.0,393.0,393.0
16,64,0.9574213027954102,0.45346975326538086,9.744367707753554e-05,0.004028966184705496,0.9843713641166687,0.9826383590698242,0.41193699836730957,0.43302854895591736,0.9574209451675415,0.9574209451675415,0.45346975326538086,0.45346975326538086,0.9574213027954102,0.45346975326538086,1.27999988386307e-09,4475.0,4475.0,4893.0,4893.0,332.0,332.0,393.0,393.0
17,64,0.9570676684379578,0.45346975326538086,0.00010076561738969758,0.004028978291898966,0.9836726784706116,0.9816956520080566,0.41193699836730957,0.43302854895591736,0.9570675492286682,0.9570675492286682,0.45346975326538086,0.45346975326538086,0.9570676684379578,0.45346975326538086,1.27999988386307e-09,4448.0,4448.0,4920.0,4920.0,332.0,332.0,393.0,393.0
18,64,0.9604311585426331,0.45346975326538086,0.00010048341209767386,0.0040289792232215405,0.9832664728164673,0.9811981320381165,0.41193699836730957,0.43302854895591736,0.9604308009147644,0.9604308009147644,0.45346975326538086,0.45346975326538086,0.9604311585426331,0.45346975326538086,2.5599997122149887e-10,4493.0,4493.0,4875.0,4875.0,332.0,332.0,393.0,393.0
19,64,0.9601297378540039,0.45346975326538086,9.867732296697795e-05,0.004028980154544115,0.9840552806854248,0.9819781184196472,0.41193699836730957,0.43302854895591736,0.9601296186447144,0.9601296186447144,0.45346975326538086,0.45346975326538086,0.9601297378540039,0.45346975326538086,2.5599997122149887e-10,4501.0,4501.0,4867.0,4867.0,332.0,332.0,393.0,393.0
